                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81099,                 0.6512,                 1.0717,                0.89599,                0.50605,                   0.55,                0.41688,                 1.8386,                 1.3673,                0.95962,              0.0013466,              0.0013466,              0.0013466
                     36,                0.80021,                0.64001,                 1.0581,                0.87174,                0.49879,                0.54652,                0.40975,                 2.0046,                 1.5737,                 1.0102,              0.0013268,              0.0013268,              0.0013268
                     37,                0.78425,                0.62931,                 1.0561,                0.83971,                 0.5109,                 0.5325,                0.40304,                 2.0635,                 1.6034,                 1.0155,               0.001307,               0.001307,               0.001307
                     38,                0.78376,                0.63158,                  1.056,                0.90737,                0.49879,                 0.5453,                0.41453,                 1.9669,                 1.6144,                 0.9815,              0.0012872,              0.0012872,              0.0012872
                     39,                0.78505,                0.63539,                 1.0604,                0.90068,                0.48426,                0.53853,                0.40636,                 2.0967,                 1.7285,                 1.0173,              0.0012674,              0.0012674,              0.0012674
                     40,                0.78156,                0.63688,                 1.0638,                0.91112,                0.49643,                0.54267,                0.41447,                 1.9205,                 1.5267,                0.98936,              0.0012476,              0.0012476,              0.0012476
                     41,                0.77536,                 0.6087,                 1.0636,                0.85758,                 0.5109,                0.55385,                0.42125,                 1.8612,                  1.451,                0.96448,              0.0012278,              0.0012278,              0.0012278
                     42,                0.78522,                0.60511,                 1.0525,                0.88791,                0.50363,                0.55266,                0.42149,                 1.9641,                 1.5909,                0.96593,               0.001208,               0.001208,               0.001208
                     43,                0.80402,                0.64386,                  1.075,                0.91968,                0.49901,                0.56559,                0.43058,                 1.8564,                 1.4561,                0.94707,              0.0011882,              0.0011882,              0.0011882
                     44,                0.78344,                 0.5999,                 1.0716,                0.87379,                0.50847,                 0.5486,                0.41935,                 1.9286,                 1.5731,                 0.9666,              0.0011684,              0.0011684,              0.0011684
                     45,                0.75129,                0.58873,                 1.0505,                0.87857,                0.50121,                0.56771,                 0.4311,                 1.9397,                 1.5131,                0.98972,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.7508,                0.59764,                 1.0433,                0.89492,                  0.523,                0.56443,                0.43046,                 1.8287,                  1.482,                0.96545,              0.0011288,              0.0011288,              0.0011288
                     47,                0.76994,                0.60784,                 1.0619,                0.88573,                0.50363,                0.56227,                0.43002,                 1.9422,                 1.4206,                0.98605,               0.001109,               0.001109,               0.001109
                     48,                0.73647,                0.56564,                 1.0427,                0.91017,                0.49066,                0.54716,                0.41923,                 1.9276,                 1.3857,                0.98329,              0.0010892,              0.0010892,              0.0010892
                     49,                0.75979,                0.56252,                 1.0383,                0.88244,                0.49637,                0.56226,                0.43253,                 1.7769,                 1.3994,                0.96475,              0.0010694,              0.0010694,              0.0010694
                     50,                0.74359,                0.58407,                 1.0438,                 0.8666,                0.50605,                0.55078,                0.42282,                 1.9134,                 1.6079,                0.98438,              0.0010496,              0.0010496,              0.0010496
                     51,                0.75447,                0.56744,                 1.0458,                0.88224,                 0.5109,                0.56218,                0.42893,                 1.9361,                 1.4863,                0.98692,              0.0010298,              0.0010298,              0.0010298
                     52,                0.74159,                0.56506,                 1.0449,                0.93123,                0.50121,                0.57369,                0.43838,                 1.9069,                 1.3904,                0.96933,                0.00101,                0.00101,                0.00101
                     53,                0.73676,                0.56683,                 1.0361,                0.93576,                0.49375,                0.57132,                0.43634,                 1.8059,                 1.3309,                0.95532,              0.0009902,              0.0009902,              0.0009902
                     54,                0.73068,                0.55365,                 1.0246,                0.92935,                0.49153,                0.57608,                0.42469,                 1.8321,                 1.4222,                0.96541,              0.0009704,              0.0009704,              0.0009704
                     55,                0.73551,                0.55179,                 1.0305,                0.86808,                0.50363,                 0.5753,                0.43612,                 1.7666,                 1.4184,                0.95199,              0.0009506,              0.0009506,              0.0009506
                     56,                0.73906,                0.55758,                 1.0373,                0.92864,                0.49153,                0.56387,                 0.4356,                 1.9321,                 1.4216,                0.96347,              0.0009308,              0.0009308,              0.0009308
                     57,                0.69543,                0.52094,                 1.0097,                0.92335,                0.49395,                 0.5812,                0.44575,                 1.8129,                 1.3865,                0.95776,               0.000911,               0.000911,               0.000911
                     58,                0.72767,                0.52757,                 1.0191,                0.83747,                0.51152,                0.56504,                0.43486,                 1.7949,                 1.4422,                0.95645,              0.0008912,              0.0008912,              0.0008912
                     59,                0.71278,                 0.5229,                 1.0195,                0.93954,                0.49637,                 0.5784,                0.44644,                 1.7846,                 1.3282,                0.93803,              0.0008714,              0.0008714,              0.0008714
                     60,                0.73335,                 0.5645,                 1.0391,                0.94068,                0.50363,                0.57635,                0.44134,                  1.721,                 1.4832,                0.94368,              0.0008516,              0.0008516,              0.0008516
                     61,                0.72118,                0.52069,                 1.0223,                0.89613,                0.50363,                0.56471,                0.43858,                 1.8558,                 1.3554,                0.95379,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.7052,                0.50651,                 1.0105,                0.81737,                0.55265,                0.59258,                0.44392,                 1.8047,                 1.3167,                0.96209,               0.000812,               0.000812,               0.000812
                     63,                0.70761,                0.54425,                 1.0395,                 0.9233,                0.50605,                0.57369,                0.44739,                 1.7666,                 1.2942,                0.93096,              0.0007922,              0.0007922,              0.0007922
                     64,                0.70423,                0.52622,                 1.0163,                0.87954,                 0.5109,                 0.5735,                0.43819,                 1.8252,                 1.3363,                0.93694,              0.0007724,              0.0007724,              0.0007724
                     65,                0.67547,                0.51567,                 1.0011,                0.93336,                0.49879,                0.58106,                0.43474,                 1.7677,                 1.3501,                0.93576,              0.0007526,              0.0007526,              0.0007526
                     66,                0.68489,                0.49577,                 1.0095,                0.86328,                0.51816,                0.57765,                0.44156,                 1.8087,                 1.2314,                0.93708,              0.0007328,              0.0007328,              0.0007328
                     67,                0.66824,                0.51128,                 1.0059,                0.91647,                0.49879,                0.58396,                0.44576,                 1.7064,                 1.2841,                0.93141,               0.000713,               0.000713,               0.000713
                     68,                0.66905,                0.49707,                 1.0006,                0.91176,                0.50039,                0.57679,                0.44397,                 1.7013,                  1.302,                0.93875,              0.0006932,              0.0006932,              0.0006932
                     69,                0.66571,                0.50202,                 1.0086,                0.87925,                0.52891,                0.59839,                0.45103,                 1.7472,                  1.227,                0.94857,              0.0006734,              0.0006734,              0.0006734
                     70,                0.65215,                0.48263,                0.99136,                0.89943,                0.51574,                0.57755,                0.44591,                 1.7224,                 1.2392,                0.94004,              0.0006536,              0.0006536,              0.0006536
                     71,                0.65157,                0.49245,                0.98778,                0.91368,                0.50605,                0.58112,                0.44761,                 1.7606,                 1.2677,                0.92879,              0.0006338,              0.0006338,              0.0006338
                     72,                0.67369,                0.49573,                0.99332,                0.93902,                 0.5109,                 0.5747,                0.44579,                  1.794,                 1.2941,                0.92797,               0.000614,               0.000614,               0.000614
                     73,                0.64795,                0.46548,                0.97839,                0.87533,                0.52703,                0.58482,                 0.4484,                 1.7941,                 1.2255,                0.92416,              0.0005942,              0.0005942,              0.0005942
                     74,                0.65791,                 0.4777,                0.99037,                0.93033,                0.49879,                0.57315,                0.44561,                 1.8069,                 1.3552,                0.94283,              0.0005744,              0.0005744,              0.0005744
                     75,                0.65303,                0.46733,                0.98395,                0.88705,                0.50847,                0.58015,                0.45385,                 1.7585,                 1.1762,                0.93552,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.6616,                0.48174,                 1.0001,                0.91637,                0.50407,                0.58574,                0.44795,                 1.7274,                 1.1862,                0.93389,              0.0005348,              0.0005348,              0.0005348
                     77,                0.64208,                0.45797,                0.98719,                0.88174,                0.52542,                0.57823,                0.44532,                 1.7646,                 1.3557,                0.92112,               0.000515,               0.000515,               0.000515
                     78,                0.64375,                0.45936,                   0.99,                0.84586,                0.53753,                0.59465,                0.44824,                 1.7126,                 1.1452,                0.92642,              0.0004952,              0.0004952,              0.0004952
                     79,                0.64155,                0.47959,                 1.0057,                0.83383,                0.54479,                0.59933,                0.45104,                 1.6931,                 1.3183,                0.91673,              0.0004754,              0.0004754,              0.0004754
                     80,                0.63445,                0.45323,                0.99599,                0.89564,                0.52542,                0.59578,                0.45677,                 1.7917,                 1.2256,                 0.9253,              0.0004556,              0.0004556,              0.0004556
                     81,                 0.6369,                0.43927,                0.98063,                0.92627,                0.52058,                0.59345,                0.45301,                 1.7205,                 1.1881,                0.91532,              0.0004358,              0.0004358,              0.0004358
                     82,                0.62018,                0.44685,                0.98023,                0.93395,                0.50847,                0.59506,                0.46074,                 1.7199,                 1.2295,                0.92066,               0.000416,               0.000416,               0.000416
                     83,                 0.6269,                0.44393,                0.98586,                0.85743,                0.53881,                0.59658,                0.45709,                  1.709,                 1.2737,                0.91422,              0.0003962,              0.0003962,              0.0003962
                     84,                0.62166,                0.43603,                0.97909,                0.90027,                0.52456,                0.59167,                0.45691,                 1.6942,                 1.1745,                0.91809,              0.0003764,              0.0003764,              0.0003764
                     85,                0.61635,                0.41838,                0.97254,                 0.9032,                0.53753,                0.60001,                0.45852,                  1.701,                  1.124,                0.90386,              0.0003566,              0.0003566,              0.0003566
                     86,                0.60251,                0.42693,                0.97491,                0.92751,                  0.523,                0.59971,                0.46252,                 1.7026,                 1.1558,                0.90653,              0.0003368,              0.0003368,              0.0003368
